"","time","status","condition","subject","velocity","normVelocity"
"384",84,"S 9","VAN","subject 3",2.11118,0.751972537611082
"385",85,"S 9","VAN","subject 3",2.16778,0.778306009307895
"386",86,"NS 9","VAN","subject 3",1.54568,0.44191274907921
"387",87,"NS 9","VAN","subject 3",0.823349,-0.182302756970672
"388",88,"NS 9","VAN","subject 3",2.78819,1.0289727795847
"389",89,"NS 9","VAN","subject 3",1.89151,0.642648307378397
"390",90,"NS 9","VAN","subject 3",4.06077,1.40383217074967
"391",91,"S 10","VAN","subject 3",4.86219,1.58354352800514
"392",92,"S 10","VAN","subject 3",3.48279,1.25070084377692
"393",93,"S 10","VAN","subject 3",1.80544,0.59632786257923
"394",94,"S 10","VAN","subject 3",0.680364,-0.370536284257268
"395",95,"S 10","VAN","subject 3",3.40378,1.22782018175691
"396",96,"NS 10","VAN","subject 3",18.2183,2.90297533146238
"397",97,"NS 10","VAN","subject 3",26.6017,3.28135096870622
"398",98,"NS 10","VAN","subject 3",16.6287,2.81173130734115
"399",99,"NS 10","VAN","subject 3",3.71807,1.3158906734711
"400",100,"NS 10","VAN","subject 3",7.82977,2.05920949719729
"401",101,"S 11","VAN","subject 3",23.2269,3.1457415323807
"402",102,"S 11","VAN","subject 3",29.7636,3.39362209482442
"403",103,"S 11","VAN","subject 3",17.8808,2.88428661424022
"404",104,"S 11","VAN","subject 3",11.873,2.47510880730789
"405",105,"S 11","VAN","subject 3",14.828,2.69719145776733
"406",106,"NS 11","VAN","subject 3",31.6373,3.45465283689437
"407",107,"NS 11","VAN","subject 3",37.5059,3.62476484311377
"408",108,"NS 11","VAN","subject 3",26.1441,3.26400596598392
"409",109,"NS 11","VAN","subject 3",23.4767,3.15643430348894
"410",110,"NS 11","VAN","subject 3",29.2513,3.37626582385998
"411",111,"S 12","VAN","subject 3",29.2718,3.37696616261341
"412",112,"S 12","VAN","subject 3",23.2372,3.14618469467355
"413",113,"S 12","VAN","subject 3",19.8599,2.98920602383843
"414",114,"S 12","VAN","subject 3",15.4498,2.73824310646499
"415",115,"S 12","VAN","subject 3",13.6953,2.6177826193364
"416",116,"NS 12","VAN","subject 3",NA,NA
"417",117,"NS 12","VAN","subject 3",NA,NA
"418",118,"NS 12","VAN","subject 3",NA,NA
"419",119,"NS 12","VAN","subject 3",NA,NA
"420",120,"NS 12","VAN","subject 3",NA,NA
"421",121,"S 13","VAN","subject 3",NA,NA
"422",122,"S 13","VAN","subject 3",NA,NA
"423",123,"S 13","VAN","subject 3",NA,NA
"424",124,"S 13","VAN","subject 3",NA,NA
"425",125,"S 13","VAN","subject 3",NA,NA
"426",126,"NS 13","VAN","subject 3",NA,NA
"427",127,"NS 13","VAN","subject 3",NA,NA
"428",128,"NS 13","VAN","subject 3",NA,NA
"429",129,"NS 13","VAN","subject 3",NA,NA
"430",130,"NS 13","VAN","subject 3",NA,NA
"431",131,"S 14","VAN","subject 3",NA,NA
"432",132,"S 14","VAN","subject 3",NA,NA
"433",133,"S 14","VAN","subject 3",NA,NA
"434",134,"S 14","VAN","subject 3",NA,NA
"435",135,"S 14","VAN","subject 3",NA,NA
"436",136,"NS 14","VAN","subject 3",NA,NA
"437",137,"NS 14","VAN","subject 3",NA,NA
"438",138,"NS 14","VAN","subject 3",NA,NA
"439",139,"NS 14","VAN","subject 3",NA,NA
"440",140,"NS 14","VAN","subject 3",NA,NA
"441",141,"S 15","VAN","subject 3",NA,NA
"442",142,"S 15","VAN","subject 3",NA,NA
"443",143,"S 15","VAN","subject 3",NA,NA
"444",144,"S 15","VAN","subject 3",NA,NA
"445",145,"S 15","VAN","subject 3",NA,NA
"446",146,"NS 15","VAN","subject 3",NA,NA
"447",147,"NS 15","VAN","subject 3",NA,NA
"448",148,"NS 15","VAN","subject 3",NA,NA
"449",149,"NS 15","VAN","subject 3",NA,NA
"450",150,"NS 15","VAN","subject 3",NA,NA
"451",1,"S 1","VAN","subject 4",8.64048,2.15761481073368
"452",2,"S 1","VAN","subject 4",7.86539,2.06374270729496
"453",3,"S 1","VAN","subject 4",2.19107,0.788943605764176
"454",4,"S 1","VAN","subject 4",0.868337,-0.129724932110442
"455",5,"S 1","VAN","subject 4",0.541782,-0.594602238245691
"456",6,"NS 1","VAN","subject 4",0.472021,-0.729767597415884
"457",7,"NS 1","VAN","subject 4",2.42751,0.890977026445552
"458",8,"NS 1","VAN","subject 4",3.13506,1.14583296787185
"459",9,"NS 1","VAN","subject 4",2.82548,1.04221123501734
"460",10,"NS 1","VAN","subject 4",3.95175,1.37668584684078
"461",11,"S 2","VAN","subject 4",2.48626,0.914793611748877
"462",12,"S 2","VAN","subject 4",8.05195,2.08715546274074
"463",13,"S 2","VAN","subject 4",5.91206,1.77868436134033
"464",14,"S 2","VAN","subject 4",2.69144,0.993784964171942
"465",15,"S 2","VAN","subject 4",0.74761,-0.277586537619769
"466",16,"NS 2","VAN","subject 4",0.640436,-0.430112371726816
"467",17,"NS 2","VAN","subject 4",2.35739,0.861788082485481
"468",18,"NS 2","VAN","subject 4",4.01251,1.39190608589747
"469",19,"NS 2","VAN","subject 4",7.83148,2.05942759205667
"470",20,"NS 2","VAN","subject 4",9.98686,2.30227104368572
