"","time","status","condition","subject","acceleration"
"410",112,"S","VAN","subject 3",-3.3773
"411",113,"S","VAN","subject 3",-4.4101
"412",114,"S","VAN","subject 3",-1.7545
"413",115,"S","VAN","subject 3",NA
"414",116,"NS","VAN","subject 3",NA
"415",117,"NS","VAN","subject 3",NA
"416",118,"NS","VAN","subject 3",NA
"417",119,"NS","VAN","subject 3",NA
"418",120,"NS","VAN","subject 3",NA
"419",121,"S","VAN","subject 3",NA
"420",122,"S","VAN","subject 3",NA
"421",123,"S","VAN","subject 3",NA
"422",124,"S","VAN","subject 3",NA
"423",125,"S","VAN","subject 3",NA
"424",126,"NS","VAN","subject 3",NA
"425",127,"NS","VAN","subject 3",NA
"426",128,"NS","VAN","subject 3",NA
"427",129,"NS","VAN","subject 3",NA
"428",130,"NS","VAN","subject 3",NA
"429",131,"S","VAN","subject 3",NA
"430",132,"S","VAN","subject 3",NA
"431",133,"S","VAN","subject 3",NA
"432",134,"S","VAN","subject 3",NA
"433",135,"S","VAN","subject 3",NA
"434",136,"NS","VAN","subject 3",NA
"435",137,"NS","VAN","subject 3",NA
"436",138,"NS","VAN","subject 3",NA
"437",139,"NS","VAN","subject 3",NA
"438",140,"NS","VAN","subject 3",NA
"439",141,"S","VAN","subject 3",NA
"440",142,"S","VAN","subject 3",NA
"441",143,"S","VAN","subject 3",NA
"442",144,"S","VAN","subject 3",NA
"443",145,"S","VAN","subject 3",NA
"444",146,"NS","VAN","subject 3",NA
"445",147,"NS","VAN","subject 3",NA
"446",148,"NS","VAN","subject 3",NA
"447",149,"NS","VAN","subject 3",NA
"448",1,"S","VAN","subject 4",-0.77509
"449",2,"S","VAN","subject 4",-5.67432
"450",3,"S","VAN","subject 4",-1.322733
"451",4,"S","VAN","subject 4",-0.326555
"452",5,"S","VAN","subject 4",-0.069761
"453",6,"NS","VAN","subject 4",1.955489
"454",7,"NS","VAN","subject 4",0.70755
"455",8,"NS","VAN","subject 4",-0.30958
"456",9,"NS","VAN","subject 4",1.12627
"457",10,"NS","VAN","subject 4",-1.46549
"458",11,"S","VAN","subject 4",5.56569
"459",12,"S","VAN","subject 4",-2.13989
"460",13,"S","VAN","subject 4",-3.22062
"461",14,"S","VAN","subject 4",-1.94383
"462",15,"S","VAN","subject 4",-0.107174
"463",16,"NS","VAN","subject 4",1.716954
"464",17,"NS","VAN","subject 4",1.65512
"465",18,"NS","VAN","subject 4",3.81897
"466",19,"NS","VAN","subject 4",2.15538
"467",20,"NS","VAN","subject 4",-3.4623
"468",21,"S","VAN","subject 4",-1.94012
"469",22,"S","VAN","subject 4",-2.05583
"470",23,"S","VAN","subject 4",-1.636892
"471",24,"S","VAN","subject 4",-0.423536
"472",25,"S","VAN","subject 4",0.118573
"473",26,"NS","VAN","subject 4",3.237055
"474",27,"NS","VAN","subject 4",3.98143
"475",28,"NS","VAN","subject 4",-0.686120000000001
"476",29,"NS","VAN","subject 4",-2.40656
"477",30,"NS","VAN","subject 4",-0.92626
"478",31,"S","VAN","subject 4",-0.11067
"479",32,"S","VAN","subject 4",6.39077
"480",33,"S","VAN","subject 4",-0.388310000000001
"481",34,"S","VAN","subject 4",-5.16424
"482",35,"S","VAN","subject 4",-2.93678
"483",36,"NS","VAN","subject 4",3.27567
"484",37,"NS","VAN","subject 4",11.09956
"485",38,"NS","VAN","subject 4",8.133
"486",39,"NS","VAN","subject 4",2.8759
"487",40,"NS","VAN","subject 4",-1.0391
"488",41,"S","VAN","subject 4",-1.6885
"489",42,"S","VAN","subject 4",-2.3905
"490",43,"S","VAN","subject 4",-9.6287
"491",44,"S","VAN","subject 4",-6.98219
"492",45,"S","VAN","subject 4",-4.10382
"493",46,"NS","VAN","subject 4",0.30499
"494",47,"NS","VAN","subject 4",2.56366
"495",48,"NS","VAN","subject 4",3.18727
"496",49,"NS","VAN","subject 4",6.55259
"497",50,"NS","VAN","subject 4",6.7824
"498",51,"S","VAN","subject 4",-7.4384
"499",52,"S","VAN","subject 4",-8.07673
"500",53,"S","VAN","subject 4",-1.63163
"501",54,"S","VAN","subject 4",1.79231
"502",55,"S","VAN","subject 4",-0.16065
"503",56,"NS","VAN","subject 4",0.72183
"504",57,"NS","VAN","subject 4",1.5729
"505",58,"NS","VAN","subject 4",6.98127
"506",59,"NS","VAN","subject 4",3.8208
"507",60,"NS","VAN","subject 4",-3.157
"508",61,"S","VAN","subject 4",-0.7614
"509",62,"S","VAN","subject 4",-8.89101
"510",63,"S","VAN","subject 4",-2.93394
"511",64,"S","VAN","subject 4",-0.0540099999999999
"512",65,"S","VAN","subject 4",-0.14591
"513",66,"NS","VAN","subject 4",1.91733
"514",67,"NS","VAN","subject 4",0.68062
"515",68,"NS","VAN","subject 4",-1.58773
"516",69,"NS","VAN","subject 4",-2.14477
"517",70,"NS","VAN","subject 4",-0.79148
"518",71,"S","VAN","subject 4",0.075296
"519",72,"S","VAN","subject 4",-0.043568
